2024-12-21 20:59:44,17/20,Python,53.5
2025-01-17 20:34:30.335462,20.0/20,HTML,14.3
2025-01-17 17:43:27.301724,8.6/20,PHP,41.2
ahlam,7,7,2025-01-17 21:07:07
2025-01-17 20:29:02.357457,14.3/20,Python,31.9
2025-01-17 16:42:07,8.6/20,SQL,36.0
2025-01-17 20:43:39.322154,20.0/20,HTML,10.2
Date,Score,Category,Total Time
2025-01-17 20:33:48.213310,17.1/20,HTML,21.5
2025-01-17 20:45:42,20.0/20,HTML,00:00:12
ahlamo,2025-01-17 21:52:36,20.0,
ahlamo,2025-01-17 21:52:41,20.0,
ahlamo,2025-01-17 22:21:25,20.0,HTML
ahlamo,2025-01-17 22:22:34,20.0,HTML
ahlamo,2025-01-17 22:23:49,20.0,HTML
ahlamo,2025-01-17 22:23:51,20.0,HTML
ahlamo,20.0,20,2025-01-17 22:23:58
ahlamo,2025-01-17 22:23:58,20.0,HTML
ahlamo,20.0,20,2025-01-17 22:24:40
ahlamo,2025-01-17 22:24:40,20.0,HTML
ahlamo,2025-01-17 22:24:46,20.0,HTML
ahlamo,2025-01-17 22:24:53,20.0,HTML
ahlamo,2025-01-17 22:25:05,20.0,HTML
ahlamo,20.0,20,2025-01-17 22:25:28
ahlamo,2025-01-17 22:25:28,20.0,HTML
ahlamo,2025-01-17 22:25:33,20.0,HTML
ahlamo,2025-01-17 22:26:13,20.0,HTML
ahlamo,2025-01-17 22:26:16,20.0,HTML
ahlamo,2025-01-17 22:28:55,20.0,HTML
ahlamo,2025-01-17 22:28:56,20.0,HTML
ahlamo,2025-01-17 22:28:56,20.0,HTML
ahlamo,2025-01-17 22:29:00,20.0,HTML
ahlamo,2025-01-17 22:29:00,20.0,HTML
ahlamo,2025-01-17 22:29:01,20.0,HTML
ahlamo,2025-01-17 22:29:02,20.0,HTML
ahlamo,2025-01-17 22:29:12,20.0,HTML
ahlamo,2025-01-17 22:29:15,20.0,HTML
ahlamo,2025-01-17 22:29:15,20.0,HTML
ahlam,14.29,20,2025-01-17 22:32:33
ahlam,2025-01-17 22:32:33,14.29,CSS
ahlam,2025-01-17 22:32:45,14.29,CSS
ahlam,2025-01-17 22:33:20,14.29,CSS
ahlam,2025-01-17 22:33:20,14.29,CSS
ahlam,2025-01-17 22:34:06,14.29,CSS
ahlam,2025-01-17 22:39:20,14.29,all
ahlam,14.29,20,2025-01-17 22:40:05
ahlam,2025-01-17 22:40:05,14.29,CSS
ahlam,2025-01-17 22:40:54,14.29,CSS
ahlam,2025-01-17 22:41:16,14.29,CSS
ahlam,2025-01-17 22:41:27,14.29,CSS
ahlam,2025-01-17 22:41:27,14.29,CSS
